Jname,probability,fermi_name
J0014+6946,0.0017074683273676,
J0014-0459,9.568474238124797e-05,4FGL J0014.3-0500
J0014-2000,0.00527816195972255,
J0014-3059,0.4528957291622646,
J0015+0802,0.20890413220691542,
J0015+0828,0.9953067302703856,
J0015+1700,0.0014027693250681984,
J0015+3052,0.9998883008956908,
J0015+3216,0.15851302819956237,4FGL J0014.9+3212
J0015+4907,0.0002800824659061,
J0015+5551,0.070246372371912,4FGL J0015.6+5551
J0015+7047,0.49167189002037043,
J0015-0034,0.06372662002104333,
J0015-1257,0.638265386223793,
J0015-1807,0.7502259353020538,
J0015-1812,0.6190395322046243,
J0015-3036,0.6620525140606333,
J0016+0340,0.5000163796739798,
J0016+0722,0.4564723074436188,
J0016+2440,0.9959785640239716,4FGL J0015.9+2440
J0016+2510,0.7241497039794922,
J0016-0015,0.22893474679064332,4FGL J0016.2-0016
J0016-1410,0.9963825941085815,
J0016-1430,0.9599556028842926,
J0016-2343,0.6535779671170391,
J0016-3346,0.05590591812506315,
J0017+0827,0.6234834343194962,
J0017+1451,0.40266093718619234,4FGL J0017.8+1455
J0017+3209,0.00029672757227667645,
J0017+5312,0.4414066973018075,
J0017+6750,0.9633400440216064,
J0017+6751,0.8792482912540436,
J0017+8135,0.5194416689930403,
J0017-0149,0.056344185024499845,
J0017-0236,7.011572876081118e-06,
J0017-0512,0.27471721315335884,4FGL J0017.5-0514
J0017-0650,0.0025519322878721808,4FGL J0017.0-0649
J0017-2059,0.0009222259395755,
J0017-2748,0.5586345278522155,
J0017-2836,0.4811016768217087,
J0017-2942,0.042165572755038704,
J0018+0415,0.76013557985425,
J0018+1851,0.00029706027271455,
J0018+2259,3.919206505997863e-05,
J0018+2921,0.9348205327987671,
J0018+2947,0.00551778113003815,4FGL J0018.4+2946
J0018+6434,0.9186100959777832,
J0018-0336,0.01007327565457665,
J0018-0628,2.863884310499998e-05,
J0018-2842,8.156566764228046e-05,
J0019+1155,0.0055100909958127504,
J0019+1457,0.0254700421355664,
J0019+2021,0.5662829029132026,4FGL J0019.6+2022
J0019+2233,0.15433749321800858,
J0019+2602,0.2459679401179948,4FGL J0018.8+2611
J0019+2647,0.0014309807632646853,
J0019+2956,0.5073947257108309,
J0019+3320,0.7184324363867441,
J0019+4537,0.9984930008649827,
J0019+6923,0.986464649438858,4FGL J0020.3+6919
J0019+7003,8.629951480543241e-06,
J0019+7327,0.43569601244146394,4FGL J0019.6+7327
J0019-0103,0.049327300015647745,
J0019-0715,0.4280055886829359,
J0019-1209,2.613173819554504e-05,
J0019-1734,0.0039488353431806,
J0019-1926,0.152128592133522,
J0019-2205,0.36413240801193747,
J0019-2952,0.9992093443870544,
J0019-3031,0.5394557057921442,
J0019-3601,3.94685885112267e-05,
J0020+0323,0.0011452776379883,
J0020+1026,0.3605521470308304,
J0020+3152,0.33760733332379306,
J0020+4304,0.3619606710562948,
J0020+4508,0.4997892833780496,
J0020-2201,0.01566440751776095,
J0020-2751,0.02533935662358995,
J0020-3330,0.9996641576290131,
J0021+2229,0.8968000710010529,
J0021+2325,0.5000038473881432,
J0021+3226,0.3769575309524953,
J0021+4652,0.0011972737393079874,
J0021+6251,0.5699295401573181,
J0021+7150,0.013852627296595657,
J0021+7312,0.6349036481231451,
J0021+7427,0.6465241611003876,
J0021-0055,6.000723806209862e-05,
J0021-1910,8.24975624453792e-05,
J0021-2146,0.0231144314166158,
J0021-2354,0.42309606323639554,
J0021-2355,0.14405025169253344,
J0021-2451,0.00559302372857925,
J0021-2550,0.3333953710947147,4FGL J0021.5-2552
J0021-2619,0.007853198352677244,
J0022+0014,0.8302049602453525,
J0022+0147,0.0010036807498181228,
J0022+0608,0.2542591053671395,4FGL J0022.5+0608
J0022+4525,0.03323246392553103,
J0022+6040,0.9931127429008484,
J0022-0145,0.3546933168545365,
J0022-0702,0.0001236227108165,
J0022-1041,0.003002195509907323,
J0022-1556,0.0044008339755236495,
J0022-1853,0.20220161601901052,4FGL J0022.1-1854
