,Jname,mean_prob,mean_pred,closest_Jname,closest_dist
129,J1107-3043,,,J1118-3054,15.556349186104045
130,J1109-4815,,,J1114-4834,19.6468827043885
131,J1117-5338,,,J1055-5413,41.340053217188775
132,J1117-4838,,,J1114-4834,5.0
133,J1125-5805,,,J1131-5818,14.317821063276353
134,J1149+2439,,,J1139+2444,11.180339887498949
135,J1208-7809,,,J1058-8003,133.77593206552515
136,J1225-4936,,,J1219-4826,70.25667228100119
137,J1237-7235,,,J1328-7508,161.27616066858735
138,J1240-7148,,,J1145-6954,126.57408897558773
139,J1254-7138,,,J1145-6954,124.80785231707178
140,J1256-5919,,,J1222-6035,83.2586331859946
141,J1303-4621,,,J1248-4559,26.627053911388696
142,J1303-5540,,,J1132-5606,94.64142856064674
143,J1305-4928,,,J1219-4826,77.20103626247513
144,J1307-4259,,,J1325-4301,18.110770276274835
145,J1310-5552,,,J1132-5606,98.99494936611666
146,J1315-5334,,,J1150-5416,94.81033698917012
147,J1315-6354,,,J1256-6449,58.18934610390462
148,J1321-5918,,,J1417-5950,64.4980619863884
149,J1326-5256,,,J1150-5416,124.96399481450646
150,J1328-4727,,,J1446-4709,80.049984384758
151,J1329-5608,,,J1132-5606,117.01709276853532
152,J1330-7003,,,J1405-6904,68.60029154456998
153,J1349-7152,,,J1405-6904,168.7601848778319
154,J1353-6639,,,J1308-6707,53.0
155,J1400-5604,,,J1132-5606,148.0135128966271
156,J1407-4302,,,J1325-4301,42.01190307520001
157,J1413-6520,,,J1452-6502,42.95346318982906
158,J1419-5154,,,J1508-4953,130.5450113945378
159,J1421-7920,,,J1556-7914,95.1892851112981
160,J1421-4820,,,J1446-4709,75.27283706623525
161,J1423-7829,,,J1556-7914,103.31505214633539
162,J1424-6807,,,J1405-6904,60.08327554319921
163,J1431-4501,,,J1517-4424,59.033888572581766
164,J1457-4248,,,J1513-4221,31.38470965295043
165,J1503-6425,,,J1452-6502,38.600518131237564
166,J1503-5801,,,J1524-5903,65.45991139621256
167,J1504-4248,,,J1513-4221,28.460498941515414
168,J1505-8242,,,J1322-8419,141.48498153514387
169,J1510-3019,,,J1521-3011,13.601470508735444
170,J1512-5640,,,J1524-5903,143.50261321662404
171,J1512-6553,,,J1452-6502,54.78138369920935
172,J1514-4748,,,J1446-4709,48.010415536631214
173,J1535-4730,,,J1446-4709,53.31041174104736
174,J1537-7958,,,J1556-7914,47.92702786528704
175,J1548-6401,,,J1558-6432,32.57299494980466
176,J1557-7040,,,J1405-6904,147.5127113166862
177,J1600-5811,,,J1524-5903,63.245553203367585
178,J1610-6649,,,J1624-6809,81.21576201698781
179,J1617-5848,,,J1524-5903,55.08175741568164
180,J1626-7638,,,J1617-7717,40.024992192379
181,J1631-5256,,,J1747-5310,77.27871634544663
182,J1642-8108,,,J1556-7914,122.93087488503447
183,J1644-7715,,,J1617-7717,27.073972741361768
184,J1647-6438,,,J1723-6500,42.190046219457976
185,J1650-5044,,,J1603-4904,110.4943437466371
186,J1657-6121,,,J1628-6152,42.44997055358225
187,J1701-5621,,,J1737-5634,38.27531841800928
